ISO;Usable?;Continent;Region;Population;GDP/c PPP 2018 (US$);Country;Index-4;Index-3;Index-2;Index-1;Intergenerational Solidarity Index;Rank;Index0-H-Ind;Index0-En-1-Ind;Index0-En-2-Ind;Index0-En-3-Ind;Index0-En-T-Ind;Index0-Ec-1-Ind;Index0-Ec-2-Ind;Index0-Ec-3-Ind;Index0-Ec-T-Ind;Index0-S-1-Ind;Index0-S-2-Ind;Index0-S-3-Ind;Index0-S-T-Ind;Annual forest cover change  (%);Carbon footprint intensity ($ GDP (PPP) per GHa);Renewable and nuclear (% of energy consumption)*;Wealth inequality Gini coefficient ;Current account balance (%GDP);Adjusted Net Savings (%GNI);Primary pupil: teacher ratio;Child mortality, per 1000*;"Predicted birth rate per woman; adjusted for child mortality";Fossil hydrocarbon production (million Gj/capita);v2x_libdem;AdjDi;FSI
IDN;1;Asia;Eastern Asia;267663435;13100;Indonesia;47,6;47,8;47,9;49;48,5;72;88,8;39,3;72,8;20,7;44,3;20;77;57,3;51,4;73,6;1;78,3;51;-0,746;18200;3,99;84;-2,3;11,5;15,7;28;2,32;57700;0,502;2,65;70,4
IRL;1;Europe;Europe;4853506;83200;Ireland;71,9;73,5;71,6;74,7;73,6;11;97,8;100;87;43,7;76,9;23,3;100;78,8;67,4;73,5;60,4;97,9;77,3;0,759;21700;11,8;83;6,16;15,8;15,7;3,82;1,85;11200;0,76;0,671;20,6
ISR;1;Asia;North Africa and Middle East;8883800;39800;Israel;62,2;62,8;63,2;64,4;63,9;35;92,8;100;38,2;1;46,4;44,7;100;79,6;74,8;89,8;91;47;75,9;1,35;9550;0,000812;76,6;3,75;15,9;12,1;3,92;3,07;36800;0,568;0,142;76,5
ITA;1;Europe;Europe;60431283;41600;Italy;66,9;68,2;68,2;70,3;69,9;23;98,5;100;58,4;51,9;70,1;70,3;100;22,3;64,2;91,1;96,3;40,4;76;0,582;14600;18,3;68,9;2,17;4,46;11,8;3,44;1,35;7750;0,783;4,5;43,8
JAM;1;Americas;Latin America and the Caribbean;2934855;9300;Jamaica;49,1;52,6;56,3;61,7;60,5;47;100;89;56,1;21,1;55,4;37,3;66,1;64,5;56;48,7;73,9;91,8;71,4;-0,113;14000;3,77;78,8;-3,39;12,9;22,1;15,9;2;0;0,702;0,0078;61,2
JPN;1;Asia;Eastern Asia;126529100;42800;Japan;67,8;67,9;67,8;68,7;67;29;99,7;99,3;47,4;22,2;56,3;89,7;100;27,7;72,5;71;100;50,7;73,9;-0,00668;11900;8,86;63,1;3,1;5,54;16,3;2,8;1,43;1450;0,727;13,5;34,3
JOR;1;Asia;North Africa and Middle East;9956011;9350;Jordan;;48,3;46,1;45,3;49,3;70;99,9;100;33,8;12,2;48,7;74,3;14,2;40,1;42,9;61;62,1;49;57,4;0;8440;1,29;67,7;-8,58;8,02;18,8;17,7;3,02;488;0,251;0,0386;75,9
KAZ;1;Asia;Western Asia;18276499;27800;Kazakhstan;43,8;44,4;43,1;42;40,6;83;30,3;100;22,3;6,3;42,9;1;80,8;36,9;39,6;64,9;13;63,3;47,1;0;5580;0,894;95,2;-1,92;7,37;17,8;12,2;2,68;450000;0,119;0,775;61,6
KEN;1;Africa;Sub-Saharan Africa;51393010;3460;Kenya;33,4;36,4;32,2;37,5;40,5;84;100;100;57,2;48,8;68,7;56;28;1;28,3;22,6;54,8;25;34,1;0,836;14300;26;73,2;-7,2;-1,17;31;46,4;3,6;0;0,297;0,105;93,5
KOR;1;Asia;Eastern Asia;51635256;40100;Korea, Rep.;64,4;64,9;65,9;67,2;66;32;99,8;82,4;34,4;38,6;51,8;76,7;100;95,5;90,7;69,9;98;15,6;61,2;-0,184;8610;12,8;67;6,01;19,1;16,6;3,5;1,17;1170;0,8;9,85;33,7
KWT;1;Asia;North Africa and Middle East;4137309;73700;Kuwait;37,7;38,3;38,8;38,6;37,9;89;1;;44,2;1,52;22,9;30,3;100;95,8;75,4;100;1;88,7;63,2;0;11100;0,0225;80,9;12,9;19,2;8,8;8,62;2,07;1860000;0,287;0,0247;53,2
KGZ;1;Asia;Western Asia;6315800;3880;Kyrgyz Republic;40,2;40,1;33,6;37,7;30,3;105;98,9;14,4;21;17,2;17,5;75,7;1;1;25,9;38,4;98,5;47,9;61,6;-1,24;5240;20,3;67,3;-12,1;-2,51;25,2;22,3;3,05;5350;0,374;0,307;76,2
LAO;1;Asia;Eastern Asia;7061507;7440;Lao PDR;52,2;48,4;40,6;29,3;33,8;96;95,7;100;100;68,8;89,6;34,3;1;1;12,1;42,1;1;64,5;35,9;1,02;39300;55,7;79,7;-10,9;-7,31;24;53,8;2,65;21800;0,082;0,34;78,7
LVA;1;Europe;Europe;1926542;30700;Latvia;65,9;65,1;67,5;71,9;64,5;33;100;100;55,8;25,6;60,5;37,3;94,9;15,8;49,3;94,2;93,7;81,6;89,8;0,0183;14000;12,5;78,8;-0,509;3,16;11,2;5,04;1,66;0;0,763;5,17;43,9
LBN;1;Asia;North Africa and Middle East;6848925;13100;Lebanon;28;30;27,6;34,2;19,8;113;100;100;23,2;12,8;45,3;3,67;1;1;1,89;89;94,9;88,5;90,8;0,0583;5790;2,4;88,9;-21,7;-14,6;12,3;8,32;2,08;0;0,288;0,198;85
LSO;1;Africa;Sub-Saharan Africa;2108132;3220;Lesotho;46,7;46,8;42,2;43,6;39,6;86;100;100;26;47,4;57,8;35;45,1;54,1;44,7;18;1;53,2;24,1;2,09;6510;21,3;79,5;-5,49;10,8;33;90,3;2,92;0;0,421;0,0118;79,7
LBR;1;Africa;Sub-Saharan Africa;4818977;1310;Liberia;32,2;31,9;26,4;27,9;26,9;108;100;41,4;38,3;2,55;27,4;63,7;1;1;21,9;30,2;66,2;1;32,5;-0,713;9580;0,632;70,9;-10,2;-82;28;79,1;4,18;0;0,425;0,00797;90,2
LUX;1;Europe;Europe;607728;111000;Luxembourg;66,1;67,2;65,9;68,6;69,9;24;100;100;41,9;19,3;53,7;79;100;88,5;89,2;100;58,4;55,2;71,2;0;10500;12,5;66,3;5,03;17,7;8,27;2,64;1,46;0;0,765;3,13;20,4
MKD;1;Europe;Europe;2082958;16400;Macedonia, FYR;63,2;64,8;65,9;68,8;66,3;31;96,4;100;31,2;40,6;57,3;81,7;86,7;59,6;76;76,3;67,4;58,1;67,3;0;7800;13,5;65,5;-1,33;11,9;15;11,7;1,49;18300;0,36;0,0528;64,6
MDG;1;Africa;Sub-Saharan Africa;26262368;1630;Madagascar;43,4;47,8;46,1;53,7;51,9;63;100;87,6;82,9;38,5;69,6;66;92,7;29,8;62,8;5,27;82;8,41;31,9;-0,128;20700;15,9;70,2;-0,733;5,95;40,8;58,1;4;0;0,293;0,0349;80,9
MWI;1;Africa;Sub-Saharan Africa;18143315;1310;Malawi;34,4;35,2;26,1;33,2;33,7;97;100;51,2;66,8;76,7;64,9;55,7;1;1;19,2;1;90,3;1;30,8;-0,569;16700;49,5;73,3;-16,6;-15,5;70,5;59,8;4,27;92,5;0,462;0,00896;83,3
MYS;1;Asia;Eastern Asia;31528585;31700;Malaysia;65,4;66,1;65,2;64;63,5;38;74,9;100;46;20,4;55,5;26,7;100;56,3;61;92,1;54,5;90;78,9;0,064;11500;4,39;82;2,97;11,3;11,6;7,98;2,04;134000;0,292;0,116;60,5
MLI;1;Africa;Sub-Saharan Africa;19077690;2310;Mali;16,5;20,4;20,5;23,8;15,2;116;100;3,08;63,5;50,7;39,1;72,7;37,1;1;36,9;5,34;1;1;2,45;-1,65;15900;25;68,2;-6,29;-3,87;40,8;109;5,47;0;0,316;0,0147;94,5
MRT;1;Africa;Sub-Saharan Africa;4403319;4190;Mauritania;16,6;17,8;15,9;20,1;14,8;118;99,4;;16,5;31,5;24;77,7;1;1;26,6;13,2;1;1;5,06;-1,54;4140;6,34;66,7;-19,1;-9,24;35,5;83,5;4,34;2800;0,165;0,0073;90,1
MUS;1;Africa;Sub-Saharan Africa;1265303;23700;Mauritius;43,8;44;47,5;52,4;48,1;73;100;100;42,8;35,2;59,3;86,7;53,4;1;47;61,6;12,6;45,8;40;0,104;10700;7,62;64;-4,66;-5,87;18,6;14,5;1,39;0;0,716;0,035;38,9
