ISO;Usable?;Continent;Region;Politics;Population;GDP/c PPP 2018;Country;Index-4;Index-3;Index-2;Index-1;Index0;Index0-H-Ind;Index0-En-1-Ind;Index0-En-2-Ind;Index0-En-3-Ind;Index0-En-T-Ind;Index0-Ec-1-Ind;Index0-Ec-2-Ind;Index0-Ec-3-Ind;Index0-Ec-T-Ind;Index0-S-1-Ind;Index0-S-2-Ind;Index0-S-3-Ind;Index0-S-T-Ind;Index0-H-Raw;Index0-En-1-Raw;Index0-En-2-Raw;Index0-En-3-Raw;Index0-Ec-1-Raw;Index0-Ec-2-Raw;Index0-Ec-3-Raw;Index0-S-1-Raw;Index0-S-2-Raw;Index0-S-3-Raw;v2x_libdem;DI adj. for pop., area, and heterogeneity (A =0.1);FSI
GRC;1;Europe;Southern Europe;;10727668;29592,15242;Greece;56,34931553;59,67165187;62,96713498;63,36311978;63,57172532;95,65635358;100;44,0097438;47,33669862;63,78214747;72,66666667;82,74657759;1;52,13774809;100;95,99057183;37,33093333;77,77383505;21959338392;0,07258814;11002,43595;13,4569096;68,2;-1,725342241;25,29981354;102,6940794;45,99057183;-0,470018;0,708;0,374730482;53,9
GIN;1;Africa;Sub-Saharan Africa;;12414318;2630,188575;Guinea;19,75114545;19,73524381;16,6763544;17,27427963;10,29145594;100;60,82141406;49,70205231;35,48254758;48,66867132;61,33333333;1;1;21,11111111;1,182666483;1;1;1,060888828;0;-0,03837404;12425,51308;11,31925039;71,6;-10,23605137;42,96049938;1,182666483;-64,30832411;2,60534564;0,176;0,018149081;99,4
HND;1;Americas;Latin America and the Caribbean;;9587522;5129,690135;Honduras;;;;;46,98192036;100;1;41,13656423;42,71519946;28,28392123;32;59,25619147;78,70736363;56,65451837;31,06765494;93,86373527;69,21949583;64,71696201;0;-0,463154218;10284,14106;24,21368067;80,4;-4,074380853;4,258527275;31,06765494;43,86373527;0,7387321;0,225;0,354617639;77,8
HUN;1;Europe;Eastern Europe;Post-communist;9768785;30673,07964;Hungary;71,08419116;71,98565124;74,3656245;77,16761944;76,2366922;96,48055285;100;53,90497909;56,24114819;70,0487091;79,33333333;100;59,0528688;79,46206738;95,80434518;90,61197034;53,68106667;80,03246073;17754853153;0,011561066;13476,24477;22,92201484;66,2;2,699281278;8,189426239;95,80434518;40,61197034;-0,347392;0,441;9,274359054;49,6
ISL;1;Europe;Northern Europe;Nordic;353574;57311,349;Iceland;74,04358283;76,44043968;78,32081075;87,27599679;85,65469558;100;;71,39483211;100;85,69741606;56,33333333;100;64,39468311;73,57600548;100;100;98,99976667;99,66658889;0;6,02782E-05;17848,70803;83,10834883;73,1;4,670682472;7,121063379;100,0098676;58,01649646;0,0240056;0,774;15,61711466;19,8
IND;1;Asia;Southern Asia;;1352617328;7761,595297;India;52,06710106;52,69343216;52,46961771;54,96533732;50,72231687;97,76682492;100;43,6365567;28,83607868;57,49087846;15,33333333;86,43800195;96,86541168;66,21224899;18,96917138;1;83,22436417;34,39784518;11228919713;0,014192552;10909,13917;8,944069453;85,4;-1,356199805;0,626917663;18,96917138;-59,24747747;0,40261526;0,417;0,775834046;74,4
IDN;1;Asia;South-eastern Asia;;267663435;13056,55305;Indonesia;43,46347149;43,82563908;44,0975412;45,28579506;44,94760716;88,79461594;12,21586422;72,84353074;20,73287687;35,26409061;20;76,9665489;57,26460902;51,41038598;73,64291655;1;78,3246775;50,98919802;57691048880;-0,192651362;18210,88269;3,986819913;84;-2,30334511;8,547078195;73,64291655;-63,98307566;0,52020774;0,502;2,648563597;70,4
IRL;1;Europe;Northern Europe;;4853506;83203,39468;Ireland;71,94663986;73,46542198;71,56005649;74,69514188;73,61661368;97,78078465;100;86,99058435;43,68511622;76,89190019;23,33333333;100;78,82729374;67,38687569;73,530625;60,35890272;97,87919167;77,25623979;11158330933;0,008885396;21747,64609;11,81438211;83;6,16044247;4,234541253;73,530625;10,35890272;0,0508994;0,76;0,670516622;20,6
ISR;1;Asia;Western Asia;;8883800;39822,48791;Israel;62,23290995;62,84029282;63,23209866;64,35082572;63,8650777;92,77664439;100;38,18428661;1;46,3947622;44,66666667;100;79,63393795;74,76686821;89,78816795;91,04178318;47,00358333;75,94451149;36793664926;0,007544904;9546,071654;0,000811686;76,6;3,752569309;4,073212409;89,78816795;41,04178318;1,271914;0,568;0,142387541;76,5
ITA;1;Europe;Southern Europe;;60431283;41630,4488;Italy;66,88256273;68,24210917;68,15501065;70,25849207;69,87703492;98,45695047;100;58,43670781;51,88487633;70,10719471;70,33333333;100;22,31245017;64,21526117;91,13912356;96,3136258;40,44333333;75,9653609;7745242045;0,057142764;14609,17695;18,31050112;68,9;2,166642457;15,53750997;91,13912356;46,3136258;-0,446675;0,783;4,4959719;43,8
